Instance,BandCval,FandRval,BandCtime,FandRtime
m2_r15_e3_p2_l2_t4_ver0,2545.951254,2545.951254,1800,1800
m2_r15_e3_p2_l2_t4_ver1,2853.484956,2853.441889,1800,1800
m2_r15_e3_p2_l2_t4_ver2,2326.970611,2326.970611,1800,1800
m2_r15_e3_p2_l2_t4_ver3,2975.389852,2963.329743,1799.984375,1800
m2_r15_e3_p2_l2_t4_ver4,3278.946653,3284.035916,1800,1800
m2_r15_e3_p2_l2_t5_ver0,3413.468164,3648.532129,1800,1800
m2_r15_e3_p2_l2_t5_ver1,3197.170091,3156.128755,1800,1800
m2_r15_e3_p2_l2_t5_ver2,#N/A,#N/A,#N/A,#N/A
m2_r15_e3_p2_l2_t5_ver3,2997.518192,3073.281965,1800,1800
m2_r15_e3_p2_l2_t5_ver4,3750.183487,3719.002046,1799.625,1800
m2_r15_e3_p2_l2_t6_ver0,2667.660229,2697.660229,1800,1800
m2_r15_e3_p2_l2_t6_ver1,4832.769162,4812.769162,1800,1800
m2_r15_e3_p2_l2_t6_ver2,4906.467004,4906.467004,1800,1800
m2_r15_e3_p2_l2_t6_ver3,5316.745712,5316.745712,1800,1800
m2_r15_e3_p2_l2_t6_ver4,4009.35044,4009.35044,1800,1800
m2_r15_e3_p3_l2_t4_ver0,2675.857209,2678.770657,1800,1800
m2_r15_e3_p3_l2_t4_ver1,2975.858548,2933.130662,1799.984375,1800
m2_r15_e3_p3_l2_t4_ver2,3279.436027,3310.109432,1800,1800
m2_r15_e3_p3_l2_t4_ver3,3818.122683,5163.452585,1799.984375,1800
m2_r15_e3_p3_l2_t4_ver4,3770.902985,3813.579433,1800,1800
m2_r15_e3_p3_l2_t5_ver0,#N/A,#N/A,#N/A,#N/A
m2_r15_e3_p3_l2_t5_ver1,#N/A,5476.137017,#N/A,1800
m2_r15_e3_p3_l2_t5_ver2,#N/A,3238.371969,#N/A,1800
m2_r15_e3_p3_l2_t5_ver3,#N/A,3225.301074,#N/A,1800
m2_r15_e3_p3_l2_t5_ver4,#N/A,6176.105469,#N/A,1800
m2_r15_e3_p3_l2_t6_ver0,#N/A,#N/A,#N/A,#N/A
m2_r15_e3_p3_l2_t6_ver1,4831.270734,4750.870734,1800,1800
m2_r15_e3_p3_l2_t6_ver2,4312.82753,4312.82753,1800,1800
m2_r15_e3_p3_l2_t6_ver3,6150.07992,6242.928167,1800,1800
m2_r15_e3_p3_l2_t6_ver4,4533.614446,4457.614446,1800,1800
m2_r5_e3_p2_l2_t4_ver0,2734.2098,2734.2098,7.109375,7.953125
m2_r5_e3_p2_l2_t4_ver1,3176.92169,3176.92169,116.1875,90
m2_r5_e3_p2_l2_t4_ver2,2667.317969,2667.317969,13.109375,14.453125
m2_r5_e3_p2_l2_t4_ver3,3149.05791,3149.05791,49.046875,46.203125
m2_r5_e3_p2_l2_t4_ver4,3261.624664,3261.624664,78.109375,73.625
m2_r5_e3_p2_l2_t5_ver0,3658.095807,3658.095807,247.125,457.203125
m2_r5_e3_p2_l2_t5_ver1,3205.297926,3205.297926,97.703125,128.515625
m2_r5_e3_p2_l2_t5_ver2,2914.872109,2914.872109,1800,1407.734375
m2_r5_e3_p2_l2_t5_ver3,4281.540052,4281.540052,994.28125,962.296875
m2_r5_e3_p2_l2_t5_ver4,4348.697502,4348.697502,1217.890625,1690.53125
m2_r5_e3_p2_l2_t6_ver0,4172.092488,4172.092488,636.578125,636
m2_r5_e3_p2_l2_t6_ver1,4260.390544,4260.390544,1489.484375,1489.46875
m2_r5_e3_p2_l2_t6_ver2,4402.394286,4402.394286,1800,1800
m2_r5_e3_p2_l2_t6_ver3,4971.478315,4971.478315,1800,1800
m2_r5_e3_p2_l2_t6_ver4,2991.419929,2991.419929,1800,1800
m2_r5_e3_p3_l2_t4_ver0,4195.345945,4195.345945,215.5,199.640625
m2_r5_e3_p3_l2_t4_ver1,3852.490047,3852.490047,119.75,91.90625
m2_r5_e3_p3_l2_t4_ver2,4204.758419,4204.758419,88.703125,90.625
m2_r5_e3_p3_l2_t4_ver3,3726.17333,3726.17333,76.6875,96.625
m2_r5_e3_p3_l2_t4_ver4,3954.833519,3954.833519,40.75,48.46875
m2_r5_e3_p3_l2_t5_ver0,3726.164592,3726.164592,187.171875,282.765625
m2_r5_e3_p3_l2_t5_ver1,2596.171276,2596.171276,91.5,407.859375
m2_r5_e3_p3_l2_t5_ver2,#N/A,3997.566464,#N/A,957.21875
m2_r5_e3_p3_l2_t5_ver3,4063.90218,4063.90218,313.140625,331.390625
m2_r5_e3_p3_l2_t5_ver4,3915.597555,3915.806999,1800,1800
m2_r5_e3_p3_l2_t6_ver0,5358.546303,5358.546303,1800,1800
m2_r5_e3_p3_l2_t6_ver1,5435.588911,5435.588911,1800,1800
m2_r5_e3_p3_l2_t6_ver2,5240.499543,5240.499543,1800,1800
m2_r5_e3_p3_l2_t6_ver3,4520.075112,4520.075112,1800,1800
m2_r5_e3_p3_l2_t6_ver4,6389.303765,6389.303765,1800,1800
